Disease	gene
Genetic epilepsy syndromes	RFT1
Genetic epilepsy syndromes	RHOBTB2
Genetic epilepsy syndromes	RMND1
Genetic epilepsy syndromes	RNASEH2A
Genetic epilepsy syndromes	RNASEH2B
Genetic epilepsy syndromes	RNASEH2C
Genetic epilepsy syndromes	RNASET2
Genetic epilepsy syndromes	ROGDI
Genetic epilepsy syndromes	RORA
Genetic epilepsy syndromes	RORB
Genetic epilepsy syndromes	RTN4IP1
Genetic epilepsy syndromes	RTTN
Genetic epilepsy syndromes	SAMHD1
Genetic epilepsy syndromes	SCN3A
Genetic epilepsy syndromes	SCO1
Genetic epilepsy syndromes	SCO2
Genetic epilepsy syndromes	SEPSECS
Genetic epilepsy syndromes	SETBP1
Genetic epilepsy syndromes	SLC1A4
Genetic epilepsy syndromes	SLC25A12
Genetic epilepsy syndromes	SLC35A1
Genetic epilepsy syndromes	SLC6A8
Genetic epilepsy syndromes	SMARCA2
Genetic epilepsy syndromes	SMARCC2
Genetic epilepsy syndromes	SMS
Genetic epilepsy syndromes	SNORD118
Genetic epilepsy syndromes	ST3GAL5
Genetic epilepsy syndromes	STAG1
Genetic epilepsy syndromes	STAMBP
Genetic epilepsy syndromes	SUCLA2
Genetic epilepsy syndromes	SURF1
Genetic epilepsy syndromes	SYN1
Genetic epilepsy syndromes	TANGO2
Genetic epilepsy syndromes	TBCD
Genetic epilepsy syndromes	TBCK
Genetic epilepsy syndromes	TBL1XR1
Genetic epilepsy syndromes	TMEM70
Genetic epilepsy syndromes	TREX1
Genetic epilepsy syndromes	TRIM8
Genetic epilepsy syndromes	TSC1
Genetic epilepsy syndromes	TSC2
Genetic epilepsy syndromes	TSEN2
Genetic epilepsy syndromes	TSEN54
Genetic epilepsy syndromes	TUBA1A
Genetic epilepsy syndromes	TUBB2A
Genetic epilepsy syndromes	TUBB2B
Genetic epilepsy syndromes	TUBB3
Genetic epilepsy syndromes	TUBB4A
Genetic epilepsy syndromes	TUBG1
Genetic epilepsy syndromes	UBA5
Genetic epilepsy syndromes	UFM1
Genetic epilepsy syndromes	UNC80
Genetic epilepsy syndromes	VARS
Genetic epilepsy syndromes	WASF1
Genetic epilepsy syndromes	WDR62
Genetic epilepsy syndromes	WDR73
Genetic epilepsy syndromes	YWHAG
Genetic epilepsy syndromes	ZBTB18
Hereditary ataxia	COQ8A
Hereditary ataxia	MRE11
Hereditary ataxia	TWNK
Hereditary ataxia	AAAS
Hereditary ataxia	ABCB7
Hereditary ataxia	ABHD12
Hereditary ataxia	AFG3L2
Hereditary ataxia	AMPD2
Hereditary ataxia	ANO10
Hereditary ataxia	AP1S2
Hereditary ataxia	APTX
Hereditary ataxia	ARSA
Hereditary ataxia	ATCAY
Hereditary ataxia	ATM
Hereditary ataxia	ATP1A3
Hereditary ataxia	CA8
Hereditary ataxia	CACNA1A
Hereditary ataxia	CACNA1G
Hereditary ataxia	CAMTA1
Hereditary ataxia	CASK
Hereditary ataxia	CHMP1A
Hereditary ataxia	CLCN2
Hereditary ataxia	CLN6
Hereditary ataxia	COX20
Hereditary ataxia	CP
Hereditary ataxia	CWF19L1
Hereditary ataxia	CYP27A1
Hereditary ataxia	CYP2U1
Hereditary ataxia	DARS2
Hereditary ataxia	DDHD2
Hereditary ataxia	DNAJC19
Hereditary ataxia	DNAJC5
Hereditary ataxia	DNMT1
Hereditary ataxia	EIF2B1
Hereditary ataxia	EIF2B2
Hereditary ataxia	EIF2B3
Hereditary ataxia	EIF2B4
Hereditary ataxia	EIF2B5
Hereditary ataxia	ELOVL4
Hereditary ataxia	EPM2A
Hereditary ataxia	EXOSC3
Hereditary ataxia	FGF14
Hereditary ataxia	FLVCR1
Hereditary ataxia	FMR1
Hereditary ataxia	FOLR1
Hereditary ataxia	FXN
Hereditary ataxia	GBA2
Hereditary ataxia	GFAP
Hereditary ataxia	GJC2
Hereditary ataxia	GOSR2
Hereditary ataxia	GPAA1
Hereditary ataxia	GRID2
Hereditary ataxia	GRM1
Hereditary ataxia	HEXA
Hereditary ataxia	HEXB
Hereditary ataxia	ITPR1
Hereditary ataxia	KCNA1
Hereditary ataxia	KCNC3
Hereditary ataxia	KCND3
Hereditary ataxia	KCNJ10
Hereditary ataxia	KIF1C
Hereditary ataxia	MARS2
Hereditary ataxia	MMACHC
Hereditary ataxia	MT-ATP6
Hereditary ataxia	MTTP
Hereditary ataxia	NHLRC1
Hereditary ataxia	NKX6-2
Hereditary ataxia	NPC1
Hereditary ataxia	NPC2
Hereditary ataxia	OPA3
Hereditary ataxia	OPHN1
Hereditary ataxia	PAX6
Hereditary ataxia	PDYN
Hereditary ataxia	PEX16
Hereditary ataxia	PLA2G6
Hereditary ataxia	PMPCA
Hereditary ataxia	PNKP
Hereditary ataxia	PNPLA6
Hereditary ataxia	POLG
Hereditary ataxia	POLR3A
Hereditary ataxia	PRKCG
Hereditary ataxia	PRNP
Hereditary ataxia	PRRT2
Hereditary ataxia	RARS2
Hereditary ataxia	RNF170
Hereditary ataxia	RNF216
Hereditary ataxia	SACS
Hereditary ataxia	SAR1B
Hereditary ataxia	SEPSECS
Hereditary ataxia	SETX
Hereditary ataxia	SIL1
Hereditary ataxia	SLC1A3
Hereditary ataxia	SLC2A1
Hereditary ataxia	SLC9A6
Hereditary ataxia	SNX14
Hereditary ataxia	SPG7
Hereditary ataxia	SPTBN2
Hereditary ataxia	SRD5A3
Hereditary ataxia	STUB1
Hereditary ataxia	SYNE1
Hereditary ataxia	TGM6
Hereditary ataxia	TMEM240
Hereditary ataxia	TPP1
Hereditary ataxia	TSEN2
Hereditary ataxia	TSEN54
Hereditary ataxia	TTBK2
Hereditary ataxia	TTC19
Hereditary ataxia	TTPA
Hereditary ataxia	TUBB4A
Hereditary ataxia	VLDLR
Hereditary ataxia	VPS13D
Hereditary ataxia	VRK1
Hereditary ataxia	WDR73
Hereditary ataxia	WDR81
Hereditary ataxia	WFS1
Hereditary ataxia	WWOX
Hereditary neuropathy	AARS
Hereditary neuropathy	AIFM1
Hereditary neuropathy	APTX
Hereditary neuropathy	ARHGEF10
Hereditary neuropathy	ATL1
Hereditary neuropathy	ATL3
Hereditary neuropathy	ATM
Hereditary neuropathy	ATP7A
Hereditary neuropathy	BICD2
Hereditary neuropathy	BSCL2
Hereditary neuropathy	C12orf65
Hereditary neuropathy	CHCHD10
Hereditary neuropathy	COX6A1
Hereditary neuropathy	DNM2
Hereditary neuropathy	DNMT1
Hereditary neuropathy	DYNC1H1
Hereditary neuropathy	EGR2
Hereditary neuropathy	ELP1
Hereditary neuropathy	FBLN5
Hereditary neuropathy	FGD4
Hereditary neuropathy	FIG4
Hereditary neuropathy	GAN
Hereditary neuropathy	GARS
Hereditary neuropathy	GDAP1
Hereditary neuropathy	GJB1
Hereditary neuropathy	GLA
Hereditary neuropathy	HARS
Hereditary neuropathy	HINT1
Hereditary neuropathy	HK1
Hereditary neuropathy	HSPB1
Hereditary neuropathy	HSPB8
Hereditary neuropathy	IGHMBP2
Hereditary neuropathy	INF2
Hereditary neuropathy	KIF1A
Hereditary neuropathy	KIF5A
Hereditary neuropathy	LITAF
Hereditary neuropathy	LMNA
Hereditary neuropathy	LRSAM1
Hereditary neuropathy	MFN2
Hereditary neuropathy	MME
Hereditary neuropathy	MORC2
Hereditary neuropathy	MPV17
Hereditary neuropathy	MPZ
Hereditary neuropathy	MT-ATP6
Hereditary neuropathy	MTMR2
Hereditary neuropathy	NDRG1
Hereditary neuropathy	NEFL
Hereditary neuropathy	NGF
Hereditary neuropathy	NTRK1
Hereditary neuropathy	PDHA1
Hereditary neuropathy	PEX7
Hereditary neuropathy	PHYH
Hereditary neuropathy	PLEKHG5
Hereditary neuropathy	PMP22
Hereditary neuropathy	POLG
Hereditary neuropathy	PRDM12
Hereditary neuropathy	PRNP
Hereditary neuropathy	PRPS1
Hereditary neuropathy	PRX
Hereditary neuropathy	RAB7A
Hereditary neuropathy	REEP1
Hereditary neuropathy	RETREG1
Hereditary neuropathy	SACS
Hereditary neuropathy	SBF2
Hereditary neuropathy	SCN11A
Hereditary neuropathy	SCN9A
Hereditary neuropathy	SEPT9
Hereditary neuropathy	SETX
Hereditary neuropathy	SH3TC2
Hereditary neuropathy	SIGMAR1
Hereditary neuropathy	SLC12A6
Hereditary neuropathy	SLC52A2
Hereditary neuropathy	SLC52A3
Hereditary neuropathy	SMN1
Hereditary neuropathy	SPAST
Hereditary neuropathy	SPG11
Hereditary neuropathy	SPTLC1
Hereditary neuropathy	SPTLC2
Hereditary neuropathy	TFG
Hereditary neuropathy	TRPV4
Hereditary neuropathy	TTR
Hereditary neuropathy	TUBB3
Hereditary neuropathy	TYMP
Hereditary neuropathy	VCP
Hereditary neuropathy	WNK1
Hereditary neuropathy	YARS
Hereditary spastic paraplegia	SPART
Hereditary spastic paraplegia	WASHC5
Hereditary spastic paraplegia	ABCD1
Hereditary spastic paraplegia	ADAR
Hereditary spastic paraplegia	AFG3L2
Hereditary spastic paraplegia	AIMP1
Hereditary spastic paraplegia	ALDH18A1
Hereditary spastic paraplegia	ALS2
Hereditary spastic paraplegia	AP4B1
Hereditary spastic paraplegia	AP4E1
Hereditary spastic paraplegia	AP4M1
Hereditary spastic paraplegia	AP4S1
Hereditary spastic paraplegia	ARG1
Hereditary spastic paraplegia	ATL1
Hereditary spastic paraplegia	ATP13A2
Hereditary spastic paraplegia	B4GALNT1
Hereditary spastic paraplegia	BSCL2
Hereditary spastic paraplegia	C12orf65
Hereditary spastic paraplegia	C19orf12
Hereditary spastic paraplegia	CAPN1
Hereditary spastic paraplegia	CYP27A1
Hereditary spastic paraplegia	CYP2U1
Hereditary spastic paraplegia	CYP7B1
Hereditary spastic paraplegia	DDHD1
Hereditary spastic paraplegia	DDHD2
Hereditary spastic paraplegia	ERLIN1
Hereditary spastic paraplegia	ERLIN2
Hereditary spastic paraplegia	FA2H
Hereditary spastic paraplegia	FARS2
Hereditary spastic paraplegia	GBA2
Hereditary spastic paraplegia	HACE1
Hereditary spastic paraplegia	HSPD1
Hereditary spastic paraplegia	KIDINS220
Hereditary spastic paraplegia	KIF1A
Hereditary spastic paraplegia	KIF5A
Hereditary spastic paraplegia	L1CAM
Hereditary spastic paraplegia	NIPA1
Hereditary spastic paraplegia	NKX6-2
Hereditary spastic paraplegia	NT5C2
Hereditary spastic paraplegia	OPA3
Hereditary spastic paraplegia	PLP1
Hereditary spastic paraplegia	PNPLA6
Hereditary spastic paraplegia	POLR3A
Hereditary spastic paraplegia	REEP1
Hereditary spastic paraplegia	RTN2
Hereditary spastic paraplegia	SACS
Hereditary spastic paraplegia	SERAC1
Hereditary spastic paraplegia	SLC16A2
Hereditary spastic paraplegia	SLC1A4
Hereditary spastic paraplegia	SLC25A46
Hereditary spastic paraplegia	SLC2A1
Hereditary spastic paraplegia	SPAST
Hereditary spastic paraplegia	SPG11
Hereditary spastic paraplegia	SPG21
Hereditary spastic paraplegia	SPG7
Hereditary spastic paraplegia	TUBB4A
Hereditary spastic paraplegia	UBAP1
Hereditary spastic paraplegia	WDR45B
Hereditary spastic paraplegia	ZFYVE26
Holoprosencephaly	CDON
Holoprosencephaly	DISP1
Holoprosencephaly	FGF8
Holoprosencephaly	FGFR1
Holoprosencephaly	GLI2
Holoprosencephaly	PTCH1
Holoprosencephaly	SHH
Holoprosencephaly	SIX3
Holoprosencephaly	TGIF1
Holoprosencephaly	ZIC2
Inherited white matter disorders	COQ8A
Inherited white matter disorders	TWNK
Inherited white matter disorders	AARS2
Inherited white matter disorders	ABCD1
Inherited white matter disorders	ACOX1
Inherited white matter disorders	ADAR
Inherited white matter disorders	AIMP1
Inherited white matter disorders	ALDH3A2
Inherited white matter disorders	ARSA
Inherited white matter disorders	ASPA
Inherited white matter disorders	BCAP31
Inherited white matter disorders	BCS1L
Inherited white matter disorders	CIC
Inherited white matter disorders	CLCN2
Inherited white matter disorders	COQ2
Inherited white matter disorders	COX10
Inherited white matter disorders	COX15
Inherited white matter disorders	CSF1R
Inherited white matter disorders	CYP27A1
Inherited white matter disorders	D2HGDH
Inherited white matter disorders	DARS
Inherited white matter disorders	DARS2
Inherited white matter disorders	DGUOK
Inherited white matter disorders	DPYD
Inherited white matter disorders	EARS2
Inherited white matter disorders	EIF2B1
Inherited white matter disorders	EIF2B2
Inherited white matter disorders	EIF2B3
Inherited white matter disorders	EIF2B4
Inherited white matter disorders	EIF2B5
Inherited white matter disorders	ERCC6
Inherited white matter disorders	ERCC8
Inherited white matter disorders	ETFDH
Inherited white matter disorders	FAM126A
Inherited white matter disorders	FLVCR2
Inherited white matter disorders	FOLR1
Inherited white matter disorders	FUCA1
Inherited white matter disorders	GALC
Inherited white matter disorders	GBE1
Inherited white matter disorders	GFAP
Inherited white matter disorders	GFM1
Inherited white matter disorders	GJA1
Inherited white matter disorders	GJB1
Inherited white matter disorders	GJC2
Inherited white matter disorders	HEPACAM
Inherited white matter disorders	HSD17B4
Inherited white matter disorders	IBA57
Inherited white matter disorders	IFIH1
Inherited white matter disorders	L2HGDH
Inherited white matter disorders	LAMB1
Inherited white matter disorders	LMNB1
Inherited white matter disorders	LYRM7
Inherited white matter disorders	MCOLN1
Inherited white matter disorders	MEF2C
Inherited white matter disorders	MLC1
Inherited white matter disorders	MPLKIP
Inherited white matter disorders	MTFMT
Inherited white matter disorders	NDUFAF1
Inherited white matter disorders	NDUFAF3
Inherited white matter disorders	NDUFS1
Inherited white matter disorders	NDUFS2
Inherited white matter disorders	NDUFS4
Inherited white matter disorders	NDUFS7
Inherited white matter disorders	NDUFS8
Inherited white matter disorders	NDUFV1
Inherited white matter disorders	NKX6-2
Inherited white matter disorders	NUBPL
Inherited white matter disorders	PAFAH1B1
Inherited white matter disorders	PEX1
Inherited white matter disorders	PEX10
Inherited white matter disorders	PEX12
Inherited white matter disorders	PEX13
Inherited white matter disorders	PEX16
Inherited white matter disorders	PEX2
Inherited white matter disorders	PEX26
Inherited white matter disorders	PEX3
Inherited white matter disorders	PEX5
Inherited white matter disorders	PEX6
Inherited white matter disorders	PLP1
Inherited white matter disorders	POLG
Inherited white matter disorders	POLG2
Inherited white matter disorders	POLR1C
Inherited white matter disorders	POLR3A
Inherited white matter disorders	POLR3B
Inherited white matter disorders	PSAP
Inherited white matter disorders	PYCR2
Inherited white matter disorders	RARS
Inherited white matter disorders	RNASEH2A
Inherited white matter disorders	RNASEH2B
Inherited white matter disorders	RNASEH2C
Inherited white matter disorders	RNASET2
Inherited white matter disorders	RRM2B
Inherited white matter disorders	SAMHD1
Inherited white matter disorders	SCO1
Inherited white matter disorders	SCO2
Inherited white matter disorders	SCP2
Inherited white matter disorders	SDHAF1
Inherited white matter disorders	SDHB
Inherited white matter disorders	SLC16A2
Inherited white matter disorders	SLC17A5
Inherited white matter disorders	SLC25A12
Inherited white matter disorders	SLC25A4
Inherited white matter disorders	SNORD118
Inherited white matter disorders	SOX10
Inherited white matter disorders	SUCLA2
Inherited white matter disorders	SUMF1
Inherited white matter disorders	SURF1
Inherited white matter disorders	TACO1
Inherited white matter disorders	TREX1
Inherited white matter disorders	TUBB4A
Inherited white matter disorders	TYMP
Intellectual disability	AAAS
Intellectual disability	ABCC9
Intellectual disability	ABCD1
Intellectual disability	ACADS
Intellectual disability	ACO2
Intellectual disability	ACOX1
Intellectual disability	ACSL4
Intellectual disability	ACY1
Intellectual disability	ADAR
Intellectual disability	ADK
Intellectual disability	ADNP
Intellectual disability	ADSL
Intellectual disability	AFF2
Intellectual disability	AHDC1
Intellectual disability	AIFM1
Intellectual disability	AKT3
Intellectual disability	ALDH18A1
Intellectual disability	ALDH4A1
Intellectual disability	ALDH5A1
Intellectual disability	ALG1
Intellectual disability	ALG11
Intellectual disability	ALG12
Intellectual disability	ALG13
Intellectual disability	ALG3
Intellectual disability	ALG6
Intellectual disability	ALG8
Intellectual disability	ANKRD11
Intellectual disability	AP1S1
Intellectual disability	AP1S2
Intellectual disability	AP3B1
Intellectual disability	AP3B2
Intellectual disability	AP4B1
Intellectual disability	AP4E1
Intellectual disability	AP4M1
Intellectual disability	AP4S1
Intellectual disability	APOPT1
Intellectual disability	ARCN1
Intellectual disability	ARG1
Intellectual disability	ARHGEF9
Intellectual disability	ARID1A
Intellectual disability	ARID1B
Intellectual disability	ARID2
Intellectual disability	ARL13B
Intellectual disability	ARV1
Intellectual disability	ARX
Intellectual disability	ASH1L
Intellectual disability	ASL
Intellectual disability	ASPM
Intellectual disability	ASS1
Intellectual disability	ASXL2
Intellectual disability	ASXL3
Intellectual disability	ATIC
Intellectual disability	ATL1
Intellectual disability	ATM
Intellectual disability	ATP6AP2
Intellectual disability	ATP6V0A2
Intellectual disability	ATP7A
Intellectual disability	ATRX
Intellectual disability	AUH
Intellectual disability	AUTS2
Intellectual disability	B3GLCT
Intellectual disability	BBS1
Intellectual disability	BBS10
Intellectual disability	BBS12
Intellectual disability	BBS2
Intellectual disability	BBS4
Intellectual disability	BBS5
Intellectual disability	BBS7
Intellectual disability	BBS9
Intellectual disability	BCKDK
Intellectual disability	BCL11A
Intellectual disability	BCOR
Intellectual disability	BMP4
Intellectual disability	BPTF
Intellectual disability	BRAF
Intellectual disability	BRF1
Intellectual disability	BRPF1
Intellectual disability	BRWD3
Intellectual disability	BSCL2
Intellectual disability	BUB1B
Intellectual disability	C12orf4
Intellectual disability	C12orf57
Intellectual disability	CACNA1A
Intellectual disability	CACNA1D
Intellectual disability	CAMK2A
Intellectual disability	CAMK2B
Intellectual disability	CAMTA1
Intellectual disability	CASK
Intellectual disability	CBS
Intellectual disability	CC2D1A
Intellectual disability	CC2D2A
Intellectual disability	CCDC22
Intellectual disability	CCND2
Intellectual disability	CDC42
Intellectual disability	CDH11
Intellectual disability	CDH15
Intellectual disability	CDK13
Intellectual disability	CDK5RAP2
Intellectual disability	CDKL5
Intellectual disability	CENPF
Intellectual disability	CENPJ
Intellectual disability	CEP290
Intellectual disability	CEP41
Intellectual disability	CEP57
Intellectual disability	CEP83
Intellectual disability	CHD2
Intellectual disability	CHD4
Intellectual disability	CHD7
Intellectual disability	CHD8
Intellectual disability	CHMP1A
Intellectual disability	CKAP2L
Intellectual disability	CLCN4
Intellectual disability	CLN3
Intellectual disability	CLPB
Intellectual disability	CLTC
Intellectual disability	CNKSR2
Intellectual disability	CNOT3
Intellectual disability	CNTNAP2
Intellectual disability	COASY
Intellectual disability	COG1
Intellectual disability	COG4
Intellectual disability	COG5
Intellectual disability	COG7
Intellectual disability	COG8
Intellectual disability	COQ4
Intellectual disability	COQ8A
Intellectual disability	CPS1
Intellectual disability	CRADD
Intellectual disability	CREBBP
Intellectual disability	CSNK2A1
Intellectual disability	CSPP1
Intellectual disability	CTC1
Intellectual disability	CTCF
Intellectual disability	CTNNB1
Intellectual disability	CTSA
Intellectual disability	CUL4B
Intellectual disability	CYB5R3
Intellectual disability	DAG1
Intellectual disability	DARS2
Intellectual disability	DBT
Intellectual disability	DCHS1
Intellectual disability	DCX
Intellectual disability	DDOST
Intellectual disability	DDX3X
Intellectual disability	DEAF1
Intellectual disability	DHCR24
Intellectual disability	DHCR7
Intellectual disability	DKC1
Intellectual disability	DLG3
Intellectual disability	DMD
Intellectual disability	DNAJC12
Intellectual disability	DNAJC19
Intellectual disability	DNM1
Intellectual disability	DNMT3A
Intellectual disability	DOCK7
Intellectual disability	DOCK8
Intellectual disability	DOLK
Intellectual disability	DPAGT1
Intellectual disability	DPYD
Intellectual disability	DYNC1H1
Intellectual disability	DYRK1A
Intellectual disability	EBF3
Intellectual disability	EBP
Intellectual disability	EED
Intellectual disability	EEF1A2
Intellectual disability	EHMT1
Intellectual disability	EIF2S3
Intellectual disability	EIF4A3
Intellectual disability	ELOVL4
Intellectual disability	ELP2
Intellectual disability	EML1
Intellectual disability	EMX2
Intellectual disability	EP300
Intellectual disability	ERCC2
Intellectual disability	ERCC3
Intellectual disability	ERCC5
Intellectual disability	ERCC6
Intellectual disability	ERCC8
Intellectual disability	ETHE1
Intellectual disability	EXTL3
Intellectual disability	EZH2
Intellectual disability	FAM126A
Intellectual disability	FAR1
Intellectual disability	FGD1
Intellectual disability	FGF12
Intellectual disability	FKRP
Intellectual disability	FKTN
Intellectual disability	FLNA
Intellectual disability	FMN2
Intellectual disability	FMR1
Intellectual disability	FOLR1
Intellectual disability	FOXG1
Intellectual disability	FOXP1
Intellectual disability	FOXP2
Intellectual disability	FTSJ1
Intellectual disability	GALE
Intellectual disability	GAMT
Intellectual disability	GATM
Intellectual disability	GDI1
Intellectual disability	GFAP
Intellectual disability	GFER
Intellectual disability	GFM1
Intellectual disability	GK
Intellectual disability	GLI2
Intellectual disability	GLI3
Intellectual disability	GLIS3
Intellectual disability	GLUL
Intellectual disability	GLYCTK
Intellectual disability	GM2A
Intellectual disability	GMPPB
Intellectual disability	GNAI1
Intellectual disability	GNAS
Intellectual disability	GNB1
Intellectual disability	GNPAT
Intellectual disability	GNPTAB
Intellectual disability	GNPTG
Intellectual disability	GPAA1
Intellectual disability	GPC3
Intellectual disability	GRIA3
Intellectual disability	GRIA4
Intellectual disability	GRID2
Intellectual disability	GRIK2
Intellectual disability	GRIN1
Intellectual disability	GRIN2A
Intellectual disability	GRIN2B
Intellectual disability	GRM1
Intellectual disability	GTPBP3
Intellectual disability	GUSB
Intellectual disability	HACE1
Intellectual disability	HCN1
Intellectual disability	HDAC4
Intellectual disability	HDAC8
Intellectual disability	HECW2
Intellectual disability	HEXB
Intellectual disability	HIST1H1E
Intellectual disability	HIVEP2
Intellectual disability	HNRNPH2
Intellectual disability	HNRNPK
Intellectual disability	HNRNPU
Intellectual disability	HOXA1
Intellectual disability	HPD
Intellectual disability	HPRT1
Intellectual disability	HRAS
Intellectual disability	HSD17B10
Intellectual disability	HSPD1
Intellectual disability	HUWE1
Intellectual disability	IARS
Intellectual disability	IDS
Intellectual disability	IER3IP1
Intellectual disability	IFIH1
Intellectual disability	IGF1
Intellectual disability	IGF1R
Intellectual disability	IL1RAPL1
Intellectual disability	INPP5K
Intellectual disability	IQSEC2
Intellectual disability	IRX5
Intellectual disability	KANSL1
Intellectual disability	KAT6A
Intellectual disability	KCNC1
Intellectual disability	KCNH1
Intellectual disability	KCNJ10
Intellectual disability	KCNJ11
Intellectual disability	KCNK9
Intellectual disability	KCNQ2
Intellectual disability	KCNQ5
Intellectual disability	KCTD7
Intellectual disability	KDM1A
Intellectual disability	KDM5B
Intellectual disability	KDM5C
Intellectual disability	KDM6A
Intellectual disability	KIAA0586
Intellectual disability	KIAA1109
Intellectual disability	KIDINS220
Intellectual disability	KIF11
Intellectual disability	KIF1A
Intellectual disability	KIF1BP
Intellectual disability	KIF5A
Intellectual disability	KIF5C
Intellectual disability	KIF7
Intellectual disability	KMT2A
Intellectual disability	KMT2C
Intellectual disability	KMT2D
Intellectual disability	KNL1
Intellectual disability	KPTN
Intellectual disability	KRAS
Intellectual disability	L1CAM
Intellectual disability	LAMA1
Intellectual disability	LAMA2
Intellectual disability	LAMC3
Intellectual disability	LAMP2
Intellectual disability	LARGE1
Intellectual disability	LIG4
Intellectual disability	LINS1
Intellectual disability	LONP1
Intellectual disability	LRP2
Intellectual disability	MAGEL2
Intellectual disability	MAN1B1
Intellectual disability	MAN2B1
Intellectual disability	MANBA
Intellectual disability	MAOA
Intellectual disability	MAP2K2
Intellectual disability	MAT1A
Intellectual disability	MBD5
Intellectual disability	MBOAT7
Intellectual disability	MBTPS2
Intellectual disability	MCCC1
Intellectual disability	MCCC2
Intellectual disability	MCOLN1
Intellectual disability	MCPH1
Intellectual disability	MDH2
Intellectual disability	MECP2
Intellectual disability	MED12
Intellectual disability	MED13L
Intellectual disability	MED17
Intellectual disability	MEF2C
Intellectual disability	MFSD8
Intellectual disability	MGAT2
Intellectual disability	MICU1
Intellectual disability	MID1
Intellectual disability	MKKS
Intellectual disability	MLYCD
Intellectual disability	MMADHC
Intellectual disability	MOCS2
Intellectual disability	MOGS
Intellectual disability	MPI
Intellectual disability	MTHFR
Intellectual disability	MTOR
Intellectual disability	MTR
Intellectual disability	MYCN
Intellectual disability	MYO5A
Intellectual disability	MYT1L
Intellectual disability	NAA10
Intellectual disability	NAA15
Intellectual disability	NACC1
Intellectual disability	NAGA
Intellectual disability	NALCN
Intellectual disability	NDP
Intellectual disability	NDST1
Intellectual disability	NDUFA1
Intellectual disability	NDUFS1
Intellectual disability	NEXMIF
Intellectual disability	NF1
Intellectual disability	NFIA
Intellectual disability	NFIX
Intellectual disability	NHS
Intellectual disability	NIPBL
Intellectual disability	NLGN3
Intellectual disability	NONO
Intellectual disability	NPC1
Intellectual disability	NPC2
Intellectual disability	NR2F1
Intellectual disability	NRXN1
Intellectual disability	NSD1
Intellectual disability	NSDHL
Intellectual disability	NSUN2
Intellectual disability	NTRK1
Intellectual disability	OCRL
Intellectual disability	OFD1
Intellectual disability	OPA3
Intellectual disability	OPHN1
Intellectual disability	OTUD6B
Intellectual disability	PACS1
Intellectual disability	PAFAH1B1
Intellectual disability	PAH
Intellectual disability	PAK3
Intellectual disability	PARN
Intellectual disability	PAX6
Intellectual disability	PCCA
Intellectual disability	PCCB
Intellectual disability	PCDH19
Intellectual disability	PCNT
Intellectual disability	PDE4D
Intellectual disability	PDGFRB
Intellectual disability	PDSS1
Intellectual disability	PEX11B
Intellectual disability	PEX7
Intellectual disability	PGAP1
Intellectual disability	PGAP3
Intellectual disability	PGK1
Intellectual disability	PGM3
Intellectual disability	PHF6
Intellectual disability	PHF8
Intellectual disability	PIGL
Intellectual disability	PIGN
Intellectual disability	PIGO
Intellectual disability	PIGV
Intellectual disability	PIK3R2
Intellectual disability	PLA2G6
Intellectual disability	PLAA
Intellectual disability	PLK4
Intellectual disability	PLP1
Intellectual disability	PLPBP
Intellectual disability	PMM2
Intellectual disability	PNKP
Intellectual disability	PNPLA6
Intellectual disability	POGZ
Intellectual disability	POMGNT1
Intellectual disability	POMT1
Intellectual disability	POMT2
Intellectual disability	PORCN
Intellectual disability	PPM1D
Intellectual disability	PPP2R5D
Intellectual disability	PQBP1
Intellectual disability	PRKD1
Intellectual disability	PRODH
Intellectual disability	PRPS1
Intellectual disability	PRSS12
Intellectual disability	PRUNE1
Intellectual disability	PSMD12
Intellectual disability	PSPH
Intellectual disability	PTCH1
Intellectual disability	PTCHD1
Intellectual disability	PTDSS1
Intellectual disability	PTEN
Intellectual disability	PTPN11
Intellectual disability	PTPN23
Intellectual disability	PUF60
Intellectual disability	PURA
Intellectual disability	PUS1
Intellectual disability	PYCR1
Intellectual disability	PYCR2
Intellectual disability	QARS
Intellectual disability	QRICH1
Intellectual disability	RAB11B
Intellectual disability	RAB39B
Intellectual disability	RAC1
Intellectual disability	RAD21
Intellectual disability	RAI1
Intellectual disability	RARB
Intellectual disability	RBBP8
Intellectual disability	RBM10
Intellectual disability	RELN
Intellectual disability	RFT1
Intellectual disability	RLIM
Intellectual disability	RNF125
Intellectual disability	RPGRIP1L
Intellectual disability	RPL10
Intellectual disability	RPS6KA3
Intellectual disability	RRM2B
Intellectual disability	RTTN
Intellectual disability	SAMHD1
Intellectual disability	SATB2
Intellectual disability	SCN1A
Intellectual disability	SCN2A
Intellectual disability	SCN3A
Intellectual disability	SCN8A
Intellectual disability	SDCCAG8
Intellectual disability	SERAC1
Intellectual disability	SETBP1
Intellectual disability	SETD2
Intellectual disability	SETD5
Intellectual disability	SGSH
Intellectual disability	SHANK2
Intellectual disability	SHANK3
Intellectual disability	SIL1
Intellectual disability	SLC12A6
Intellectual disability	SLC13A5
Intellectual disability	SLC16A2
Intellectual disability	SLC25A15
Intellectual disability	SLC2A1
Intellectual disability	SLC33A1
Intellectual disability	SLC35C1
Intellectual disability	SLC39A14
Intellectual disability	SLC46A1
Intellectual disability	SLC4A4
Intellectual disability	SLC6A1
