Disease	gene
Cerebellar hypoplasia	TSEN2
Cerebellar hypoplasia	TSEN34
Cerebellar hypoplasia	TSEN54
Cerebellar hypoplasia	TUBA1A
Cerebellar hypoplasia	TUBB2B
Cerebellar hypoplasia	TUBB3
Cerebellar hypoplasia	VLDLR
Cerebellar hypoplasia	VRK1
Cerebellar hypoplasia	WDR81
Cerebral vascular malformations	ADA2
Cerebral vascular malformations	ACTA2
Cerebral vascular malformations	ACVRL1
Cerebral vascular malformations	ATR
Cerebral vascular malformations	CCM2
Cerebral vascular malformations	CEP152
Cerebral vascular malformations	COL3A1
Cerebral vascular malformations	ELN
Cerebral vascular malformations	ENG
Cerebral vascular malformations	FLVCR2
Cerebral vascular malformations	GUCY1A3
Cerebral vascular malformations	HBB
Cerebral vascular malformations	JAG1
Cerebral vascular malformations	KRIT1
Cerebral vascular malformations	NF1
Cerebral vascular malformations	NOTCH3
Cerebral vascular malformations	PCNT
Cerebral vascular malformations	PDCD10
Cerebral vascular malformations	PKD1
Cerebral vascular malformations	PKD2
Cerebral vascular malformations	RASA1
Cerebral vascular malformations	SAMHD1
Cerebral vascular malformations	SLC2A10
Cerebral vascular malformations	SMAD3
Cerebral vascular malformations	SMAD4
Cerebral vascular malformations	TGFB2
Cerebral vascular malformations	TGFBR1
Cerebral vascular malformations	TGFBR2
Cerebral vascular malformations	THSD1
Classical tuberous sclerosis	TSC1
Classical tuberous sclerosis	TSC2
Congenital muscular dystrophy	B3GALNT2
Congenital muscular dystrophy	B4GAT1
Congenital muscular dystrophy	CHKB
Congenital muscular dystrophy	COL12A1
Congenital muscular dystrophy	COL6A1
Congenital muscular dystrophy	COL6A2
Congenital muscular dystrophy	COL6A3
Congenital muscular dystrophy	DAG1
Congenital muscular dystrophy	DOLK
Congenital muscular dystrophy	DPM2
Congenital muscular dystrophy	FKRP
Congenital muscular dystrophy	FKTN
Congenital muscular dystrophy	GMPPB
Congenital muscular dystrophy	INPP5K
Congenital muscular dystrophy	ISPD
Congenital muscular dystrophy	ITGA7
Congenital muscular dystrophy	LAMA2
Congenital muscular dystrophy	LARGE1
Congenital muscular dystrophy	MICU1
Congenital muscular dystrophy	MYMK
Congenital muscular dystrophy	POMGNT1
Congenital muscular dystrophy	POMGNT2
Congenital muscular dystrophy	POMK
Congenital muscular dystrophy	POMT1
Congenital muscular dystrophy	POMT2
Congenital muscular dystrophy	SELENON
Congenital muscular dystrophy	TMEM5
Congenital muscular dystrophy	DMD
Congenital muscular dystrophy	LMNA
Congenital muscular dystrophy	RYR1
Congenital muscular dystrophy	SYNE1
Congenital myaesthenic syndrome	AGRN
Congenital myaesthenic syndrome	CHAT
Congenital myaesthenic syndrome	CHRNA1
Congenital myaesthenic syndrome	CHRNB1
Congenital myaesthenic syndrome	CHRND
Congenital myaesthenic syndrome	CHRNE
Congenital myaesthenic syndrome	CHRNG
Congenital myaesthenic syndrome	COL13A1
Congenital myaesthenic syndrome	COLQ
Congenital myaesthenic syndrome	DOK7
Congenital myaesthenic syndrome	DPAGT1
